machine,timestamp,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
RHH44,2025-01-07 11:49:00,74.78,59.43,32.86,1.19,2.97,Running,No,111,Normal,,No
SIQ9,2025-01-12 07:39:00,83.71,66.7,53.89,2.21,3.39,Running,No,66,Normal,,No
TVG50,2025-01-06 00:48:00,91.29,49.09,57.11,2.16,0.99,Failure,Yes,37,Normal,1.0,Yes
PKS8,2025-02-23 03:06:00,75.29,55.66,77.18,2.39,1.9,Running,No,56,Normal,0.0,No
GUK33,2025-01-24 23:19:00,80.19,38.84,74.69,3.03,3.5,Running,No,72,Normal,0.0,No
GUK33,2025-01-14 01:49:00,82.17,60.8,69.39,2.11,1.75,Running,No,111,Normal,,No
RFF14,2025-01-07 12:30:00,87.47,62.28,37.41,1.58,1.33,Running,No,291,Normal,0.0,No
VIR30,2025-02-27 17:48:00,81.57,57.87,75.17,1.8,2.54,Running,No,354,Normal,0.0,No
DHW47,2025-01-04 10:21:00,76.93,39.17,56.43,3.89,4.38,Running,No,74,Normal,,No
QYD25,2025-01-01 12:44:00,70.93,56.49,72.89,4.71,2.32,Running,No,456,Normal,0.0,No
AGF22,2025-01-10 09:02:00,67.47,43.56,59.06,3.6,1.93,Running,No,434,Normal,0.0,No
XEP19,2025-02-20 23:47:00,86.73,46.15,35.22,1.12,3.75,Running,No,325,Normal,,No
AGF22,2025-01-09 15:35:00,77.99,55.39,56.8,3.01,3.56,Running,No,46,Normal,,No
SJO48,2025-01-05 12:48:00,76.48,54.98,75.26,4.9,2.07,Running,No,80,Normal,0.0,No
AOE45,2025-01-01 08:38:00,70.14,52.67,64.39,1.5,0.86,Running,No,145,Normal,0.0,No
GJH10,2025-01-29 05:45:00,73.01,49.44,52.39,2.45,2.13,Running,No,11,Normal,0.0,Yes
BBS16,2025-01-25 02:43:00,69.73,47.94,58.26,1.49,4.47,Running,No,386,Normal,0.0,No
PKS8,2025-02-19 17:47:00,59.82,31.23,77.83,2.03,3.46,Running,No,435,Normal,,No
SIQ9,2025-03-05 02:28:00,70.9,75.64,53.24,1.11,4.68,Running,No,181,Normal,0.0,No
GUK33,2025-01-01 19:24:00,52.06,46.26,60.81,2.51,4.3,Idle,No,136,Normal,0.0,No
FPO41,2025-03-06 00:16:00,69.31,46.8,48.02,4.75,4.17,Running,No,294,Normal,,No
QYD25,2025-02-07 02:05:00,74.75,58.24,63.97,1.62,1.65,Running,No,126,Normal,,No
GSR32,2025-02-13 22:52:00,65.29,65.05,38.06,3.96,1.96,Idle,No,371,Normal,,No
SJO48,2025-02-20 06:25:00,90.26,56.57,33.52,2.33,2.85,Idle,Yes,3,Normal,1.0,Yes
DVO46,2025-02-08 01:30:00,91.22,49.9,36.14,4.25,1.96,Running,Yes,28,Normal,1.0,Yes
CJL17,2025-02-21 21:50:00,71.28,33.36,63.53,2.29,1.79,Running,No,390,Normal,0.0,No
GUK33,2025-02-06 18:43:00,70.67,60.87,33.71,2.9,4.94,Running,No,403,Normal,0.0,No
AOE45,2025-02-01 00:57:00,74.36,43.37,58.72,1.74,1.5,Running,No,26,Normal,0.0,No
QNJ7,2025-01-27 06:42:00,84.05,78.56,64.63,4.04,4.1,Running,No,333,Normal,0.0,No
QYD25,2025-02-23 16:51:00,75.35,50.99,40.8,1.6,1.11,Running,No,477,Normal,,No
BJB18,2025-01-13 05:10:00,65.34,58.07,58.26,3.66,4.69,Idle,No,457,Normal,0.0,No
IOT24,2025-01-02 00:38:00,72.52,51.14,58.83,1.34,1.91,Idle,No,421,Normal,0.0,No
JRJ12,2025-02-09 07:10:00,70.8,59.11,69.49,2.12,1.82,Running,No,68,Normal,,No
FKF20,2025-02-19 04:49:00,73.15,28.7,40.09,4.41,1.28,Running,No,452,Normal,0.0,No
RHH44,2025-02-15 18:09:00,66.74,24.47,32.02,2.27,4.93,Running,No,177,Normal,0.0,No
OQN3,2025-02-17 20:36:00,74.01,30.64,62.67,1.5,0.57,Running,No,157,Normal,,No
ZKP13,2025-02-25 05:17:00,79.16,25.17,54.2,1.67,0.54,Running,No,133,Normal,0.0,No
GUK33,2025-03-03 13:50:00,73.11,69.85,69.32,2.68,3.23,Running,No,207,Normal,0.0,No
RFF14,2025-02-07 08:32:00,83.45,70.86,37.55,1.27,1.83,Failure,No,361,Normal,0.0,Yes
KGY27,2025-02-14 06:12:00,86.83,24.44,33.54,1.7,1.48,Running,No,383,Normal,0.0,No
OZU38,2025-02-28 02:02:00,54.62,80.8,45.98,1.97,0.96,Running,Yes,18,Normal,1.0,Yes
BPQ42,2025-01-26 16:17:00,76.86,40.82,66.43,1.25,4.21,Running,No,414,Normal,0.0,No
SAC1,2025-02-03 03:44:00,63.79,52.24,40.58,4.94,3.37,Running,No,222,Normal,,No
ZKP13,2025-02-26 01:49:00,80.26,95.88,75.43,1.55,4.5,Running,Yes,45,Normal,,Yes
ZTG36,2025-03-08 21:11:00,97.29,73.29,79.07,3.11,3.62,Idle,Yes,49,Normal,1.0,Yes
IJA31,2025-02-21 04:13:00,,56.16,50.01,4.26,3.99,Failure,No,492,Normal,0.0,Yes
GJH10,2025-03-06 08:29:00,67.2,55.34,49.58,2.47,2.86,Running,No,440,Normal,0.0,No
PKS8,2025-01-11 00:22:00,70.56,73.29,60.85,4.97,3.99,Running,No,324,Normal,,No
GUK33,2025-03-03 23:29:00,67.77,23.76,64.32,1.12,0.51,Running,No,345,Normal,0.0,No
DHW47,2025-03-10 04:09:00,57.03,19.74,41.0,4.24,3.2,Running,No,472,Normal,0.0,No
YDH6,2025-03-04 09:32:00,73.93,31.03,54.96,3.68,3.78,Running,No,464,Normal,,No
CJL17,2025-01-25 12:42:00,88.91,62.45,69.59,3.08,4.42,Running,No,192,Normal,0.0,No
BPQ42,2025-01-17 22:40:00,68.0,49.32,37.45,1.65,2.63,Running,No,27,Normal,0.0,No
TVG50,2025-01-06 20:20:00,78.17,64.27,48.23,3.91,4.87,Running,No,95,Normal,0.0,No
EZO29,2025-01-10 03:33:00,58.76,,78.26,1.37,4.2,Running,No,18,Normal,0.0,Yes
PXA26,2025-01-18 01:00:00,71.14,24.17,37.85,1.37,3.57,Running,No,341,Normal,,No
RHH44,2025-01-10 14:28:00,72.37,66.18,53.31,4.57,4.88,Running,No,144,Normal,0.0,No
DVO46,2025-02-13 13:42:00,81.22,49.24,67.25,3.86,2.74,Running,No,82,Normal,0.0,No
BPQ42,2025-01-15 19:46:00,84.36,71.12,78.81,2.18,2.59,Running,No,274,Normal,,No
SAC1,2025-01-06 02:12:00,77.02,59.45,62.88,2.76,3.75,Running,No,174,Normal,,No
ZTG36,2025-02-28 07:39:00,78.89,36.81,43.43,2.2,1.39,Idle,No,407,Normal,0.0,No
HJG23,2025-02-06 02:41:00,80.97,53.76,37.91,1.2,3.82,Idle,No,233,Normal,0.0,No
AOE45,2025-01-20 08:41:00,77.28,73.93,35.82,2.51,1.6,Idle,No,63,Normal,,No
GJR5,2025-02-05 11:55:00,79.38,42.32,30.69,2.03,3.95,Running,No,313,Normal,,No
HJG23,2025-01-24 13:13:00,76.05,69.29,37.7,4.62,4.98,Running,No,392,Normal,0.0,No
QNJ7,2025-01-09 22:35:00,73.88,53.43,59.61,3.76,1.37,Running,No,475,Normal,,No
OZU38,2025-02-25 23:07:00,74.53,83.14,56.41,4.46,3.22,Running,Yes,2,Normal,1.0,Yes
QNJ7,2025-01-30 21:11:00,52.17,41.25,49.48,3.2,4.9,Running,No,52,Normal,0.0,No
WXX28,2025-01-26 07:01:00,57.08,42.83,49.78,1.81,3.93,Running,No,350,Normal,0.0,No
QJN15,2025-01-04 16:30:00,86.07,48.88,56.26,4.3,4.2,Idle,No,470,Normal,,No
PXA26,2025-01-31 12:36:00,81.04,52.32,63.0,3.19,3.7,Running,No,147,Normal,,No
PKS8,2025-01-22 13:01:00,92.46,49.0,51.47,1.87,4.92,Running,Yes,9,Normal,1.0,Yes
IOT24,2025-02-09 04:58:00,93.57,40.71,38.13,4.43,3.63,Running,Yes,40,Normal,1.0,Yes
AOE45,2025-02-27 11:42:00,81.81,36.49,78.53,1.63,2.67,Running,No,174,Normal,0.0,No
OLM37,2025-02-18 00:12:00,75.06,50.69,41.98,4.53,3.93,Running,No,153,Normal,0.0,No
SJO48,2025-01-31 23:06:00,88.46,48.66,56.24,3.37,1.52,Running,No,370,Normal,,No
FKF20,2025-01-11 18:05:00,62.43,46.43,70.36,3.31,4.91,Idle,No,35,Normal,0.0,No
JJF2,2025-01-12 04:39:00,79.39,58.19,64.31,3.75,2.0,Running,No,449,Normal,,No
PKS8,2025-01-01 01:48:00,71.93,50.89,57.17,1.96,3.38,Idle,No,480,Normal,0.0,No
IJA31,2025-02-05 19:13:00,71.38,67.39,32.28,4.7,3.38,Running,No,98,Normal,,No
RHH44,2025-02-22 07:57:00,54.52,42.99,38.87,2.95,3.52,Running,No,34,Normal,,No
VIR30,2025-02-13 10:00:00,68.26,37.43,30.22,2.75,3.95,Running,No,60,Normal,,No
YDH6,2025-01-23 05:20:00,71.92,36.13,36.07,3.11,2.06,Idle,No,94,Normal,,No
QJN15,2025-01-18 01:23:00,87.6,24.3,41.56,1.96,3.81,Running,No,297,Normal,,No
TVG50,2025-02-17 19:44:00,48.91,42.88,45.39,2.69,4.05,Running,No,335,Normal,,No
BPQ42,2025-01-20 09:38:00,64.43,67.43,47.48,1.12,1.67,Running,No,455,Normal,0.0,No
QJN15,2025-01-14 18:12:00,70.08,60.62,67.01,1.37,1.34,Running,No,95,Normal,0.0,No
KGY27,2025-01-20 08:40:00,60.35,42.14,63.89,3.79,2.59,Running,No,183,Normal,,No
ANO21,2025-02-02 22:55:00,76.17,58.92,37.69,3.38,1.83,Running,No,153,Normal,0.0,No
JJF2,2025-02-13 04:06:00,83.87,51.39,70.94,4.4,3.06,Running,No,207,Normal,,No
MEO40,2025-03-05 08:10:00,65.64,47.91,52.61,2.41,1.91,Running,No,474,Normal,0.0,No
RHH44,2025-03-06 13:20:00,83.88,65.17,41.67,4.11,4.33,Running,No,45,Normal,,No
BJB18,2025-02-09 18:15:00,73.41,40.44,35.66,1.69,2.14,Running,No,419,Normal,0.0,No
WXX28,2025-02-16 06:44:00,75.78,43.74,40.43,4.82,4.76,Running,No,315,Normal,0.0,No
SIQ9,2025-01-10 16:17:00,78.6,59.31,60.76,2.46,3.49,Running,No,235,Normal,,No
GJR5,2025-01-18 22:11:00,61.4,35.8,33.55,3.12,1.54,Failure,No,35,Normal,0.0,Yes
TVG50,2025-02-07 10:14:00,71.87,57.79,47.85,1.99,0.88,Running,No,223,Normal,0.0,No
OZU38,2025-01-17 03:18:00,64.45,39.63,57.51,2.55,2.07,Idle,No,142,Normal,0.0,No
EZO29,2025-03-07 17:50:00,67.19,37.58,62.28,2.19,1.04,Running,No,196,Normal,0.0,No
JRJ12,2025-02-23 06:15:00,82.75,36.17,32.98,1.11,1.48,Running,No,185,Normal,,No
QSA35,2025-01-01 09:12:00,91.04,69.96,49.49,2.26,3.66,Running,Yes,33,Normal,,Yes
VIR30,2025-01-30 13:42:00,74.39,55.01,67.19,5.0,3.26,Running,No,33,Normal,0.0,No
XEP19,2025-03-02 10:52:00,71.46,70.68,50.79,4.87,4.92,Running,No,11,Normal,,Yes
EZO29,2025-01-30 05:02:00,77.67,20.55,57.18,2.45,1.7,Running,No,422,Normal,,No
IJA31,2025-01-02 02:16:00,73.89,72.66,41.19,3.08,3.64,Running,No,368,Normal,,No
VIR30,2025-01-26 13:00:00,55.59,32.5,34.36,2.81,3.96,Running,No,323,Normal,,No
FPO41,2025-02-09 16:17:00,66.76,36.58,43.51,4.79,2.77,Running,No,357,Normal,0.0,No
JRJ12,2025-01-21 04:19:00,66.73,44.51,36.58,2.96,3.92,Running,No,331,Normal,0.0,No
MEO40,2025-02-27 15:13:00,72.19,58.86,36.51,1.02,4.64,Failure,No,299,Normal,0.0,Yes
YDH6,2025-02-19 20:37:00,78.86,57.95,63.03,1.19,3.88,Running,No,402,Normal,,No
WXX28,2025-02-08 05:16:00,81.78,47.92,33.48,3.73,1.33,Running,No,374,Normal,0.0,No
CJL17,2025-02-13 17:09:00,61.81,51.33,39.42,4.96,4.06,Running,No,85,Normal,,No
BBS16,2025-02-22 04:46:00,72.52,48.57,50.5,2.41,4.76,Running,No,158,Normal,0.0,No
TVG50,2025-01-31 01:36:00,80.87,41.96,51.34,3.12,4.13,Running,No,215,Normal,0.0,No
GJH10,2025-01-31 14:09:00,90.37,70.13,32.17,2.0,4.48,Running,Yes,7,Normal,1.0,Yes
OWX49,2025-02-01 01:03:00,62.14,57.49,38.63,1.01,0.88,Running,No,10,Normal,0.0,Yes
EZO29,2025-01-25 16:05:00,66.15,67.89,74.81,2.32,2.0,Running,No,227,Normal,,No
BJB18,2025-02-06 17:19:00,88.61,25.62,43.15,3.93,1.2,Running,No,498,Normal,0.0,No
JJF2,2025-01-08 00:46:00,64.93,63.49,79.76,4.97,4.78,Running,No,353,Normal,0.0,No
GJR5,2025-01-13 22:42:00,85.39,61.99,49.52,2.22,4.95,Running,No,22,Normal,,No
JRJ12,2025-01-07 18:22:00,76.73,42.55,47.61,1.92,2.74,Failure,No,148,Normal,0.0,Yes
ZKP13,2025-02-21 09:40:00,83.19,55.77,77.03,2.26,4.3,Idle,No,414,Normal,0.0,No
ZTG36,2025-02-10 11:57:00,78.04,67.3,33.49,1.3,2.65,Idle,No,439,Normal,,No
GJR5,2025-02-07 03:01:00,85.94,43.35,65.75,1.69,1.37,Running,No,365,Normal,0.0,No
OQN3,2025-03-08 13:45:00,84.14,59.21,62.29,2.82,2.79,Running,No,252,Normal,0.0,No
TVG50,2025-03-04 15:41:00,58.63,56.23,53.64,4.57,4.77,Running,No,451,Normal,0.0,No
YDH6,2025-01-18 00:05:00,60.27,52.72,68.64,1.35,1.74,Running,No,199,Normal,0.0,No
FPQ39,2025-02-01 00:31:00,81.28,44.17,57.55,2.88,4.57,Running,No,431,Normal,,No
GJH10,2025-02-08 13:48:00,73.4,51.45,41.1,3.1,2.2,Idle,No,429,Normal,0.0,No
RKL4,2025-02-04 15:10:00,79.88,66.7,55.53,1.41,1.66,Running,No,154,Normal,0.0,No
RKL4,2025-01-06 12:01:00,62.96,28.02,62.93,2.4,4.1,Running,No,423,Normal,,No
RFF14,2025-02-18 16:05:00,82.85,41.86,37.51,3.29,0.91,Running,No,86,Normal,0.0,No
CJL17,2025-01-23 22:12:00,96.89,48.52,39.03,2.9,4.08,Running,Yes,47,Normal,1.0,Yes
IJA31,2025-01-16 20:36:00,60.22,49.24,57.64,1.58,2.89,Running,No,331,Normal,,No
EZO29,2025-01-24 01:51:00,67.24,41.48,39.24,4.31,3.27,Running,No,263,Normal,0.0,No
BPQ42,2025-02-08 19:12:00,86.15,47.16,42.17,1.53,2.36,Running,No,245,Normal,0.0,No
EZO29,2025-02-01 17:29:00,69.79,73.22,52.99,1.91,3.58,Running,No,242,Normal,0.0,No
EZO29,2025-03-09 01:34:00,87.69,44.39,63.83,2.76,3.86,Running,No,169,Normal,,No
QJN15,2025-01-04 15:14:00,83.71,60.47,63.4,3.22,1.14,Idle,No,103,Normal,0.0,No
QJN15,2025-02-25 21:01:00,75.9,59.6,40.73,4.96,2.59,Running,No,297,Normal,0.0,No
ANO21,2025-01-17 16:45:00,49.26,59.62,73.03,1.36,4.97,Running,No,153,Normal,,No
IJA31,2025-02-25 04:26:00,69.04,78.36,63.27,3.84,4.24,Running,No,266,Normal,,No
AGF22,2025-03-09 04:36:00,80.6,48.02,44.07,3.8,4.87,Running,No,160,Normal,0.0,No
GJR5,2025-01-27 09:42:00,90.26,57.9,57.65,4.8,0.75,Running,Yes,18,Normal,1.0,Yes
RKL4,2025-02-04 10:05:00,70.65,31.38,43.31,4.48,4.52,Running,No,122,Normal,0.0,No
AOE45,2025-01-15 08:51:00,74.85,52.97,37.03,2.89,0.61,Running,No,204,Normal,,No
BJB18,2025-01-19 20:58:00,64.38,60.26,31.15,3.22,1.93,Running,No,168,Normal,0.0,No
BPQ42,2025-03-03 23:24:00,78.1,67.53,35.98,1.5,4.83,Running,No,212,Normal,0.0,No
MEO40,2025-01-24 06:21:00,70.22,13.03,48.5,4.92,1.58,Running,No,51,Normal,0.0,No
FKF20,2025-03-01 21:37:00,77.97,39.81,70.99,3.79,2.2,Running,No,39,Normal,,No
